date,AAPL,MSFT,JNJ,UNH,JPM,GS,XOM,CVX,AMZN,HD,PG,CAT,HON,NEE,META,TLT,GLD,UUP
2020-08-21,120.7578988612,203.3816746227,130.0853198027,284.9885217556,83.8597713447,176.8235619195,32.5096326737,67.0965870573,164.236,246.3551348636,119.7212777372,124.8106789787,132.8177980116,61.1353555428,264.9511407707,139.8327252597,182.03,21.708686444
2020-08-24,122.2021971209,204.0213597321,130.4259464583,280.1803497135,86.2208047755,181.1124701299,33.4688293461,68.7684813281,165.373,249.4168517535,120.6533336684,127.7409304176,134.3947458356,61.1829805498,269.297367491,139.6055601825,181.0,21.743172046
2020-08-25,121.1996842112,206.675575559,130.3487967036,283.2466933932,86.5999488301,179.9419737955,32.4065784858,67.9246478989,167.3245,248.877572074,121.1324278386,127.2630740291,138.7461098847,60.897230508,278.6546546992,138.5370429678,181.22,21.6655794416
2020-08-26,122.8478834016,211.1438237856,130.5545293829,280.1622056681,85.3849644733,181.0076495626,31.7169081511,66.8599982454,172.0925,253.9224464948,120.5488040313,127.8761727917,139.4038742177,60.3971679348,301.5666124551,138.0069911212,183.36,21.6397152401
2020-08-27,121.3793112216,216.3281374332,131.1374386408,282.7477321436,88.1940772414,183.5670184132,31.5028725299,66.9625200639,170.0,251.0520869106,120.3920095756,129.2646611658,139.9773097901,60.6742588844,290.9590408479,135.6596186575,181.24,21.6655794416
2020-08-28,121.182692467,218.5527140075,131.7032035088,285.1971782782,88.5559874753,181.4356668789,32.2559608265,67.5303332124,170.09,249.0167410236,120.8798145489,129.4990812809,141.9927671695,60.8200267898,291.3956480983,135.5586564009,184.39,21.4931514317
2020-08-31,125.2922671789,215.3256458439,131.5060430245,283.546070143,86.3328246098,180.0467943627,31.6614174345,66.1896632783,172.548,247.9294836053,120.4965392127,128.3089483888,139.6062632433,60.7373524554,290.9391950638,136.4589031881,184.83,21.4672872302
2020-09-01,130.2829851989,216.9869176204,129.8858981753,283.8000867792,86.2897400581,180.5653066324,31.2571279279,65.5193283112,174.956,248.7123089464,120.3658771663,131.6809915831,141.6470192508,60.2935218181,293.1619228842,138.0178613908,185.05,21.5103942327
2020-09-02,127.5837252582,221.1687396787,131.8660752132,290.5224556154,87.5908935182,184.5903679795,31.0668740425,65.6060775422,176.5725,251.112973326,122.3954942874,134.5841945471,145.4418134797,62.7150095598,300.1674846753,139.3318359042,182.62,21.5879868371
2020-09-03,117.369259583,207.4680212915,128.1971757663,286.8845745043,87.3151523876,182.4108587784,31.0034560807,64.8884248128,168.4,240.122408999,120.435563591,132.3211388205,140.2387289481,61.0462933892,288.8752335163,139.727712841,181.14,21.5966082376
2020-09-04,117.4469361281,204.556021913,127.3742450493,283.0471088934,89.2022557501,185.3813188992,30.979674345,64.6124045322,164.731,235.7768954982,120.1742394982,133.6014332953,140.5676111146,60.3348589853,280.5499270818,137.0744950735,181.64,21.6310938396
2020-09-08,109.5433476684,193.4904242749,126.2341431183,278.7378981009,86.1001680308,177.9463802537,30.2662222746,62.2780615881,157.492,235.4271559811,118.414657273,133.9079826766,138.5268551071,60.4632217677,269.0691409737,137.9167864282,181.29,21.743172046
2020-09-09,113.9126533279,201.7299503851,128.3257586908,283.0652529388,86.9187745123,177.7178833213,30.0838956344,63.1140087235,163.4305,242.22958959,120.339744757,137.6677206766,139.7749207646,61.4335573766,271.6094013399,137.5461782321,183.05,21.708686444
2020-09-10,110.1938887333,196.0778073292,125.9341162944,276.3338120799,86.0226158379,175.7756593962,29.3308073379,61.6313855022,158.7555,238.4349158287,119.0766783082,135.1161478852,138.5268551071,60.2456577298,266.0228131127,138.2452800566,182.46,21.7517934465
