date,drawdown
2020-04-13,-0.16317019917767556
2020-04-14,-0.14715599259376574
2020-04-15,-0.15684785770376392
2020-04-16,-0.1541605574160067
2020-04-17,-0.13316195437412545
2020-04-20,-0.1483742126248691
2020-04-21,-0.16671652154257535
2020-04-22,-0.15085365512638074
2020-04-23,-0.1444789431091069
2020-04-24,-0.13607406230549104
2020-04-27,-0.12964953328591602
2020-04-28,-0.13322616087041936
2020-04-29,-0.11586717382628157
2020-04-30,-0.1198977870982327
2020-05-01,-0.14118657023859113
2020-05-04,-0.13643893750298375
2020-05-05,-0.13095454276515447
2020-05-06,-0.13940899328721174
2020-05-07,-0.13261939387529587
2020-05-08,-0.11851615792598304
2020-05-11,-0.12295226135487426
2020-05-12,-0.13695481936003462
2020-05-13,-0.14924778849195328
2020-05-14,-0.137059472204805
2020-05-15,-0.136028908366899
2020-05-18,-0.11328587618692335
2020-05-19,-0.12535053658802034
2020-05-20,-0.11081554166202545
2020-05-21,-0.11701293113111269
2020-05-22,-0.11514715974015073
2020-05-26,-0.10300712220123352
2020-05-27,-0.08866134306512856
2020-05-28,-0.0935774121078209
2020-05-29,-0.09156803039727766
2020-06-01,-0.08579500235390013
2020-06-02,-0.0779877670960605
2020-06-03,-0.06834630788450761
2020-06-04,-0.07305213905281942
2020-06-05,-0.05145162076545549
2020-06-08,-0.04169560790832491
2020-06-09,-0.04358746047914714
2020-06-10,-0.04933791180559942
2020-06-11,-0.09861804522769699
2020-06-12,-0.08961148932506657
2020-06-15,-0.08500874376783175
2020-06-16,-0.0696124149622019
2020-06-17,-0.07492059270534167
2020-06-18,-0.07417874434785209
2020-06-19,-0.07884423524223334
2020-06-22,-0.074016487858711
2020-06-23,-0.06964608965174546
2020-06-24,-0.09003162538644242
2020-06-25,-0.078477394108625
2020-06-26,-0.10433220574315318
2020-06-29,-0.09277954704218112
2020-06-30,-0.08075278438502827
2020-07-01,-0.07805532060442662
2020-07-02,-0.07541963007278023
2020-07-06,-0.06084659341725512
2020-07-07,-0.07065207212417879
2020-07-08,-0.062297650685127104
2020-07-09,-0.07070514003952802
2020-07-10,-0.058876533517573125
2020-07-13,-0.05857420855920367
2020-07-14,-0.04231103897312365
2020-07-15,-0.040728386827619825
2020-07-16,-0.04024247802103561
2020-07-17,-0.0418377960529831
2020-07-20,-0.03852580399938547
2020-07-21,-0.03180172045435864
2020-07-22,-0.03198101484536043
2020-07-23,-0.04116330035031262
2020-07-24,-0.045038692924158366
2020-07-27,-0.03956967119777547
2020-07-28,-0.04317569269386839
2020-07-29,-0.03434426888657501
2020-07-30,-0.04241565813552984
2020-07-31,-0.03463640823432215
2020-08-03,-0.031395515271585114
2020-08-04,-0.02516033525207833
2020-08-05,-0.01763492691664695
2020-08-06,-0.009992230607124338
2020-08-07,-0.00811789576081383
2020-08-10,-0.0015511018898825598
2020-08-11,-0.010180065880070784
2020-08-12,0.0
2020-08-13,-0.002877787512430784
2020-08-14,-0.0038060030925562223
2020-08-17,-0.004320615841177385
2020-08-18,-0.004229362780913224
2020-08-19,-0.009124924326498213
2020-08-20,-0.007300084720213304
2020-08-21,-0.0032451438730051988
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,-9.873911849774295e-05
2020-08-28,0.0
2020-08-31,-0.00417290864401749
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,-0.024898718834753298
2020-09-04,-0.02961990466904064
2020-09-08,-0.05063594746631991
2020-09-09,-0.036020707929722194
2020-09-10,-0.05179194511082525
2020-09-11,-0.05012766271407496
2020-09-14,-0.04435283300048388
