date,actual_loss,hs_var_95,param_var_95,mc_var_95,breach_hs_95,breach_param_95,breach_mc_95,cum_breach_rate_hs
2022-04-06,0.0056212504464961,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.030303030303030304
2022-04-07,-0.0029824288848453,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.029850746268656716
2022-04-08,-0.0031829257942504,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.029411764705882353
2022-04-11,0.0146355724906513,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.028985507246376812
2022-04-12,-0.0009336079715979,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.02857142857142857
2022-04-13,-0.007049415011727,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.028169014084507043
2022-04-14,0.0067297828001671,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.027777777777777776
2022-04-18,-0.0011320094167435,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0273972602739726
2022-04-19,-0.0115133059238865,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.02702702702702703
2022-04-20,-0.0006590124007385,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.02666666666666667
2022-04-21,0.0185854723181679,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,0,0,0.039473684210526314
2022-04-22,0.0242635564755529,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.05194805194805195
2022-04-25,-0.0037568749768968,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05128205128205128
2022-04-26,0.0177328035997817,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,0,0,0.06329113924050633
2022-04-27,0.0001610378168399,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0625
2022-04-28,-0.0269173264149265,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.06172839506172839
2022-04-29,0.0294382697808254,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.07317073170731707
2022-05-02,-0.0054781636919568,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.07228915662650602
2022-05-03,-0.0043045311440054,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.07142857142857142
2022-05-04,-0.0254248626877192,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.07058823529411765
2022-05-05,0.031122677552076,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.08139534883720931
2022-05-06,0.0011631185405132,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08045977011494253
2022-05-09,0.0241372828283172,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.09090909090909091
2022-05-10,0.0011908408620119,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0898876404494382
2022-05-11,0.0095745966398518,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08888888888888889
2022-05-12,0.001867363975791,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08791208791208792
2022-05-13,-0.015109742837823,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08695652173913043
2022-05-16,-0.0034522472692294,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08602150537634409
2022-05-17,-0.0143969386880558,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0851063829787234
2022-05-18,0.0294742614865037,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.09473684210526316
2022-05-19,0.0036049427573517,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09375
2022-05-20,-0.0006051386702003,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09278350515463918
2022-05-23,-0.0166932319255093,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09183673469387756
2022-05-24,0.0005859771748431,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09090909090909091
2022-05-25,-0.0063799953833761,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09
2022-05-26,-0.0135298625648738,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0891089108910891
2022-05-27,-0.0164289863358561,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08823529411764706
2022-05-31,0.0072009138157412,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08737864077669903
2022-06-01,0.0025207723681255,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08653846153846154
2022-06-02,-0.0130959290258008,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08571428571428572
2022-06-03,0.0091267176803051,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08490566037735849
2022-06-06,-0.0021368592045783,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08411214953271028
2022-06-07,-0.0089597221565061,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08333333333333333
2022-06-08,0.0061276152107776,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08256880733944955
2022-06-09,0.0194421458949848,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.09090909090909091
2022-06-10,0.0252339361923177,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.0990990990990991
2022-06-13,0.0320945028889203,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.10714285714285714
2022-06-14,0.0075050326441321,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10619469026548672
2022-06-15,-0.0120151927335216,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10526315789473684
2022-06-16,0.0241806398895945,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.11304347826086956
2022-06-17,0.0056292086543407,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.11206896551724138
2022-06-21,-0.0173829398992059,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.1111111111111111
2022-06-22,0.0031617117843488,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.11016949152542373
2022-06-23,-0.0045439713508774,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.1092436974789916
2022-06-24,-0.0218490468298172,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10833333333333334
2022-06-27,0.0008404734361756,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10743801652892562
2022-06-28,0.0135375953914477,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10655737704918032
2022-06-29,-0.001498211549969,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10569105691056911
2022-06-30,0.008550169287263,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10483870967741936
2022-07-01,-0.0118222297997684,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.104
2022-07-05,0.0021164059080715,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10317460317460317
2022-07-06,0.0003223898898534,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10236220472440945
2022-07-07,-0.0120062691187175,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.1015625
2022-07-08,0.0027285442162689,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.10077519379844961
2022-07-11,0.0077701473935807,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.1
2022-07-12,0.0070457319272155,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09923664122137404
2022-07-13,0.00169698410524,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09848484848484848
2022-07-14,0.0081097514465306,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09774436090225563
2022-07-15,-0.0167139660895788,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09701492537313433
2022-07-18,0.0033224086699893,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0962962962962963
2022-07-19,-0.0222088958448114,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09558823529411764
2022-07-20,-0.0051218901437635,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0948905109489051
2022-07-21,-0.0060079183955019,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09420289855072464
2022-07-22,0.0054042042767773,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09352517985611511
2022-07-25,-0.0034161270091756,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09285714285714286
2022-07-26,0.0112367065730024,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09219858156028368
2022-07-27,-0.018562215150413,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09154929577464789
2022-07-28,-0.009754555859667,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09090909090909091
2022-07-29,-0.0160338197547755,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09027777777777778
2022-08-01,0.0013192509468512,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0896551724137931
2022-08-02,0.0105916053091969,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08904109589041095
2022-08-03,-0.0124092767617988,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08843537414965986
2022-08-04,0.0023861618130339,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08783783783783784
2022-08-05,-0.0011541781669584,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.087248322147651
2022-08-08,-0.00144666721373,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08666666666666667
2022-08-09,-0.0013554106116663,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08609271523178808
2022-08-10,-0.0153477767916374,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08552631578947369
2022-08-11,-0.0003179799148333,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08496732026143791
2022-08-12,-0.0111775608977722,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08441558441558442
2022-08-15,-0.0002202822669435,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08387096774193549
2022-08-16,-0.0037350846430981,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08333333333333333
2022-08-17,0.0043087422652888,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08280254777070063
2022-08-18,-0.0025184987359708,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08227848101265822
2022-08-19,0.0101762405976049,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08176100628930817
2022-08-22,0.0142806484686028,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08125
2022-08-23,0.0001545793749768,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08074534161490683
2022-08-24,-0.0012566854008827,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08024691358024691
2022-08-25,-0.0121566807254032,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.07975460122699386
2022-08-26,0.0246038256254481,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.08536585365853659
2022-08-29,0.0035122071272171,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08484848484848485
2022-08-30,0.0113007707255114,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08433734939759036
2022-08-31,0.0057990663648948,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08383233532934131
2022-09-01,-0.0028880188730842,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08333333333333333
2022-09-02,0.0069697686592388,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08284023668639054
2022-09-06,0.0049242394956355,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08235294117647059
2022-09-07,-0.0112092198410705,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08187134502923976
2022-09-08,-0.0042494119874692,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08139534883720931
2022-09-09,-0.0130907868678202,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08092485549132948
2022-09-12,-0.0081498407704145,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08045977011494253
2022-09-13,0.0364883972881701,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.08571428571428572
2022-09-14,-0.0020287237740659,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08522727272727272
2022-09-15,0.0096102020428187,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0847457627118644
2022-09-16,0.0067576165930146,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08426966292134831
2022-09-19,-0.0068391974186197,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08379888268156424
2022-09-20,0.0092488917522951,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08333333333333333
2022-09-21,0.0137327444820042,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08287292817679558
2022-09-22,0.0036843816765674,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08241758241758242
2022-09-23,0.0173896981793904,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,0,0,0.08743169398907104
2022-09-26,0.0109294768987186,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08695652173913043
2022-09-27,0.0038011189395346,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08648648648648649
2022-09-28,-0.0216396255742674,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08602150537634409
2022-09-29,0.0168868713024071,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,0,0,0.09090909090909091
2022-09-30,0.0125048144526807,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09042553191489362
2022-10-03,-0.0266845417050203,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08994708994708994
2022-10-04,-0.0245761585503512,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08947368421052632
2022-10-05,0.0012318871557488,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08900523560209424
2022-10-06,0.0060160756452844,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08854166666666667
2022-10-07,0.0211488273681232,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.09326424870466321
2022-10-10,0.0063636920423566,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09278350515463918
2022-10-11,0.0059856910064171,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09230769230769231
2022-10-12,0.0013753231786445,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09183673469387756
2022-10-13,-0.0194360050086692,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09137055837563451
2022-10-14,0.0172533436362507,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,0,0,0.09595959595959595
2022-10-17,-0.0211089604567564,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09547738693467336
2022-10-18,-0.00876670052858,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.095
2022-10-19,0.0033254322225651,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0945273631840796
2022-10-20,0.0075975092180431,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09405940594059406
2022-10-21,-0.0214981744250622,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09359605911330049
2022-10-24,-0.0087775288744919,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09313725490196079
2022-10-25,-0.0130148488452902,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09268292682926829
2022-10-26,0.0062469260140814,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09223300970873786
2022-10-27,0.0130083219773736,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09178743961352658
2022-10-28,-0.0171871963962277,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09134615384615384
2022-10-31,0.0081256519401452,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09090909090909091
2022-11-01,0.0008068391909555,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09047619047619047
2022-11-02,0.0181612485506634,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,0,0,0.0947867298578199
2022-11-03,0.0039266644357728,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09433962264150944
2022-11-04,-0.0125148257658388,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09389671361502347
2022-11-07,-0.0091462790383958,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09345794392523364
2022-11-08,-0.0047638932095204,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09302325581395349
2022-11-09,0.0123135553363967,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09259259259259259
2022-11-10,-0.0442145910633494,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09216589861751152
2022-11-11,-0.0056104237170354,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09174311926605505
2022-11-14,0.005540819995427,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.091324200913242
2022-11-15,-0.0044713326032461,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09090909090909091
2022-11-16,0.0014616182764452,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09049773755656108
2022-11-17,0.0044131705562646,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.09009009009009009
2022-11-18,-0.0027877138470785,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08968609865470852
